[ -1.3735e-01 -4.3140e-01 -5.5407e-01 -4.6998e-01 ] [ -2.4686e-01 -4.7283e-01 -3.2257e-01 -1.4999e-01 -3.0309e-01 -3.0609e-01 -3.8697e-01 ] -7.72743e-03 6.33271e-01 -3.66410e-01
[ -1.4258e-01 -4.0722e-01 -5.0808e-01 -4.5652e-01 ] [ -2.4816e-01 -4.3891e-01 -2.9787e-01 -1.5491e-01 -2.9833e-01 -3.0794e-01 -3.7841e-01 ] -2.77211e-03 6.32532e-01 -2.76927e-01
[ -1.4796e-01 -3.8322e-01 -4.6235e-01 -4.4315e-01 ] [ -2.4955e-01 -4.0522e-01 -2.7343e-01 -1.5997e-01 -2.9370e-01 -3.0987e-01 -3.6994e-01 ] 2.72414e-03 6.31703e-01 -1.87861e-01
[ -1.5349e-01 -3.5940e-01 -4.1689e-01 -4.2985e-01 ] [ -2.5106e-01 -3.7176e-01 -2.4924e-01 -1.6518e-01 -2.8919e-01 -3.1186e-01 -3.6157e-01 ] 8.84160e-03 6.30756e-01 -9.92469e-02
[ -1.5917e-01 -3.3577e-01 -3.7172e-01 -4.1663e-01 ] [ -2.5268e-01 -3.3854e-01 -2.2532e-01 -1.7053e-01 -2.8479e-01 -3.1390e-01 -3.5329e-01 ] 1.56656e-02 6.29660e-01 -1.11172e-02
[ -1.6501e-01 -3.1233e-01 -3.2683e-01 -4.0346e-01 ] [ -2.5439e-01 -3.0555e-01 -2.0168e-01 -1.7603e-01 -2.8050e-01 -3.1600e-01 -3.4508e-01 ] 2.32856e-02 6.28381e-01 7.64921e-02
[ -1.7100e-01 -2.8906e-01 -2.8222e-01 -3.9033e-01 ] [ -2.5621e-01 -2.7281e-01 -1.7832e-01 -1.8168e-01 -2.7632e-01 -3.1813e-01 -3.3694e-01 ] 3.17936e-02 6.26884e-01 1.63544e-01
[ -1.7713e-01 -2.6597e-01 -2.3790e-01 -3.7722e-01 ] [ -2.5810e-01 -2.4030e-01 -1.5525e-01 -1.8746e-01 -2.7223e-01 -3.2029e-01 -3.2885e-01 ] 4.12821e-02 6.25129e-01 2.50001e-01
[ -1.8340e-01 -2.4304e-01 -1.9386e-01 -3.6412e-01 ] [ -2.6006e-01 -2.0803e-01 -1.3245e-01 -1.9336e-01 -2.6821e-01 -3.2243e-01 -3.2079e-01 ] 5.18415e-02 6.23075e-01 3.35821e-01
[ -1.8978e-01 -2.2025e-01 -1.5009e-01 -3.5098e-01 ] [ -2.6205e-01 -1.7596e-01 -1.0993e-01 -1.9937e-01 -2.6425e-01 -3.2455e-01 -3.1274e-01 ] 6.35559e-02 6.20679e-01 4.20964e-01
[ -1.9625e-01 -1.9759e-01 -1.0659e-01 -3.3779e-01 ] [ -2.6406e-01 -1.4410e-01 -8.7656e-02 -2.0546e-01 -2.6031e-01 -3.2661e-01 -3.0466e-01 ] 7.64996e-02 6.17899e-01 5.05385e-01
